"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","136","瑞巖寺庫裏及び廊下","庫裏","国宝・重要文化財（建造物）","国宝","近世以前／寺院","","桃山","19030415","19590627","宮城県","宮城県宮城郡松島町松島","","瑞巖寺","","38.37223258000000","141.06018359000000"
"102","137","瑞巖寺庫裏及び廊下","廊下","国宝・重要文化財（建造物）","国宝","近世以前／寺院","","桃山","19030415","19590627","宮城県","宮城県宮城郡松島町松島","","瑞巖寺","","38.37228128000000","141.05989735000000"
"102","135","瑞巖寺五大堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19010327","","宮城県","宮城県宮城郡松島町松島","","瑞巖寺","","38.36971887000000","141.06417316000000"
"102","134","瑞巖寺中門","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19000407","","宮城県","宮城県宮城郡松島町松島","","瑞巖寺","","38.37192678000000","141.05991502000000"
"102","132","瑞巖寺本堂（元方丈）","","国宝・重要文化財（建造物）","国宝","近世以前／寺院","","桃山","19000407","19530331","宮城県","宮城県宮城郡松島町松島","","瑞巖寺","","38.37213496000000","141.05957674000000"
"102","123","陸奥国分寺薬師堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19030415","","宮城県","宮城県仙台市若林区木ノ下","","陸奥国分寺","","38.25130000000000","140.90278373000000"
"102","154","天徳寺","総門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19900319","","秋田県","秋田県秋田市泉三嶽根","","天徳寺","","39.73769451000000","140.11891084000000"
"102","153","天徳寺","山門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19900319","","秋田県","秋田県秋田市泉三嶽根","","天徳寺","","39.73828390000000","140.11952489000000"
"102","152","天徳寺","書院","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸後期","19900319","","秋田県","秋田県秋田市泉三嶽根","","天徳寺","","39.73865008000000","140.12032131000000"
"102","151","天徳寺","本堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","19900319","","秋田県","秋田県秋田市泉三嶽根","","天徳寺","","39.73866812000000","140.12001659000000"
"102","204","阿弥陀堂（白水阿弥陀堂）","","国宝・重要文化財（建造物）","国宝","近世以前／寺院","","平安後期","19020731","19520329","福島県","福島県いわき市内郷白水町広畑","","願成寺","","37.03651945000000","140.83728373000000"
"102","219","恵隆寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","鎌倉後期","19040218","","福島県","福島県河沼郡会津坂下町大字塔寺字松原","","恵隆寺","","37.57481474000000","139.79936202000000"
"102","214","円満寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19660805","","福島県","福島県耶麻郡西会津町下谷字宮ノ後","","円満寺","","37.54446414000000","139.66770217000000"
"102","223","延命寺地蔵堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町中期","19030415","","福島県","福島県会津若松市河東町大字倉橋字藤倉","","延命寺","","37.53400134000000","139.93187734000000"
"102","222","奥之院弁天堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19170405","","福島県","福島県河沼郡柳津町大字柳津字門前町","","奥之院","","37.53197409000000","139.72701922000000"
"102","211","観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町前期","19600609","","福島県","福島県南会津郡下郷町大字観音前","","旭田寺","","37.25565193000000","139.87209790000000"
"102","202","旧正宗寺三匝堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸後期","19950627","","福島県","福島県会津若松市一箕町大字八幡字弁天下1404番2","","","","37.50447729000000","139.95390230000000"
"102","228","弘安寺旧観音堂厨子","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","鎌倉後期","19600609","","福島県","福島県大沼郡会津美里町大字米田字堂ノ後","","弘安寺","","37.50223670000000","139.82265691000000"
"102","221","勝常寺薬師堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町前期","19030415","","福島県","福島県河沼郡湯川村大字勝常字代舞","","勝常寺","","37.56350274000000","139.87002336000000"
"102","227","常福院薬師堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町中期","19040218","","福島県","福島県大沼郡会津美里町大字新屋敷字山王塚","","常福院","","37.52199471000000","139.83426804000000"
"102","208","勝福寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19820611","","福島県","福島県喜多方市関柴町","","勝福寺","","37.64823733000000","139.89685973000000"
"102","212","成法寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19630701","","福島県","福島県南会津郡只見町大字梁取字仏地","","成法寺","","37.29495831000000","139.47565799000000"
"102","00003846","専称寺","本堂","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","20040706","","福島県","福島県いわき市平山崎字梅福山","","専称寺","","37.05708017000000","140.92653659000000"
"102","00003847","専称寺","庫裏","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","20040706","","福島県","福島県いわき市平山崎字梅福山","","専称寺","","37.05730953000000","140.92660158000000"
"102","00003848","専称寺","総門","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸中期","20040706","","福島県","福島県いわき市平山崎字梅福山","","専称寺","","37.05770601000000","140.92793501000000"
"102","231","堂山王子神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19170405","","福島県","福島県田村市船引町大字門沢字堂山","","堂山王子神社","","37.38028535000000","140.58336182000000"
"102","224","八葉寺阿弥陀堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19040218","","福島県","福島県会津若松市河東町大字広野字権現塚","","八葉寺","","37.56265649000000","139.93311666000000"
"102","226","福生寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19790203","","福島県","福島県大沼郡会津美里町大字冨川","","福生寺","","37.44112602000000","139.84525950000000"
"102","225","法用寺本堂内厨子及び仏壇","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","鎌倉後期","19600609","","福島県","福島県大沼郡会津美里町大字雀林字3番山下","","法用寺","","37.48823361000000","139.81418050000000"
"102","197","観音寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19530331","","山形県","山形県西置賜郡白鷹町大字深山","","観音寺","","38.21767808000000","140.07002656000000"
"102","00005874","幸徳院観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","江戸末期","20260115","","山形県","山形県米沢市笹野本町","","幸徳院","","37.87981944000000","140.09591667000000"
"102","183","旧松應寺観音堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","室町後期","19861220","","山形県","山形県山形市蔵王半郷字松尾山","","","","38.18406004000000","140.32402131000000"
"102","199","羽黒山五重塔","","国宝・重要文化財（建造物）","国宝","近世以前／寺院","","室町前期","19080423","19660611","山形県","山形県鶴岡市羽黒町大字手向","","月山神社
出羽神社
湯殿山神社","","38.70478301000000","139.96762620000000"
"102","198","羽黒山正善院黄金堂","","国宝・重要文化財（建造物）","重要文化財","近世以前／寺院","","桃山","19080423","","山形県","山形県鶴岡市羽黒町大字手向","","羽黒山正善院","","38.71552557000000","139.95805073000000"
