"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"102","831","丸岡城天守","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19340130","","福井県","福井県坂井市丸岡町霞町一丁目","","坂井市","","36.15235938000000","136.27213272000000"
"102","953","小諸城","三之門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸後期","19931209","","長野県","長野県小諸市","","懐古神社","","36.32767653000000","138.41979692000000"
"102","952","小諸城","大手門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19931209","","長野県","長野県小諸市","","小諸市","","36.32864787000000","138.42190778000000"
"102","924","松本城天守","月見櫓","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","江戸前期","19360420","19520329","長野県","長野県松本市丸の内4番1号","","国(文部科学省)","松本市","36.23853949000000","137.96906113000000"
"102","923","松本城天守","辰巳附櫓","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","江戸前期","19360420","19520329","長野県","長野県松本市丸の内4番1号","","国(文部科学省)","松本市","36.23854193000000","137.96897669000000"
"102","920","松本城天守","天守","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","江戸前期","19360420","19520329","長野県","長野県松本市丸の内4番1号","","国(文部科学省)","松本市","36.23861261000000","137.96884588000000"
"102","922","松本城天守","渡櫓","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","江戸前期","19360420","19520329","長野県","長野県松本市丸の内4番1号","","国(文部科学省)","松本市","36.23872945000000","137.96882490000000"
"102","921","松本城天守","乾小天守","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","桃山","19360420","19520329","長野県","長野県松本市丸の内4番1号","","国(文部科学省)","松本市","36.23880779000000","137.96882551000000"
"102","1155","油山寺山門","","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","江戸前期","19540917","","静岡県","静岡県袋井市村松","","油山寺","","34.78457441000000","137.93615686000000"
"102","1239","犬山城天守","","国宝・重要文化財（建造物）","国宝","近世以前／城郭","","桃山","19350513","19520329","愛知県","愛知県犬山市大字犬山","","（公財）犬山城白帝文庫","犬山市","35.38834738000000","136.93928749000000"
"102","1187","名古屋城","表二の門","国宝・重要文化財（建造物）","重要文化財","近世以前／城郭","","桃山","19301211","","愛知県","愛知県名古屋市中区本丸1番地","","名古屋市","","35.18425524000000","136.90008211000000"
