"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度","source_query"
"102","88","南部利康霊屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19531114","","青森県","青森県三戸郡南部町大字小向","","","南部町","40.41431886000000","141.26561289000000","102-shrine"
"102","52","弘前八幡宮","唐門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","桃山","19360918","","青森県","青森県弘前市大字八幡町一丁目","","弘前八幡宮","","40.61621757000000","140.47930471000000","102-shrine"
"102","51","弘前八幡宮","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","桃山","19360918","","青森県","青森県弘前市大字八幡町一丁目","","弘前八幡宮","","40.61631188000000","140.47930853000000","102-shrine"
"102","100","日高神社本殿","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19900911","","岩手県","岩手県奥州市水沢区日高小路","","日高神社","","39.14284534000000","141.13234889000000","102-shrine"
"102","138","圓通院霊屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19850518","","宮城県","宮城県宮城郡松島町松島","","圓通院","","38.37136277000000","141.05965176000000","102-shrine"
"102","116","大崎八幡宮","","国宝・重要文化財（建造物）","国宝","近世以前／神社","","桃山","19030415","19521122","宮城県","宮城県仙台市青葉区八幡四丁目","","大崎八幡宮","","38.27252153000000","140.84499749000000","102-shrine"
"102","117","大崎八幡宮長床","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19660611","","宮城県","宮城県仙台市青葉区八幡四丁目","","大崎八幡宮","","38.27226090000000","140.84501040000000","102-shrine"
"102","3751","鹽竈神社","鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31741137000000","141.01214537000000","102-shrine"
"102","3750","鹽竈神社","随身門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31841864000000","141.01246014000000","102-shrine"
"102","3747","鹽竈神社","別宮瑞垣","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31860255000000","141.01324240000000","102-shrine"
"102","3744","鹽竈神社","別宮本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31862414000000","141.01315854000000","102-shrine"
"102","3745","鹽竈神社","別宮幣殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31863175000000","141.01308750000000","102-shrine"
"102","3749","鹽竈神社","門及び廻廊","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31864248000000","141.01253009000000","102-shrine"
"102","3746","鹽竈神社","別宮廻廊","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31864444000000","141.01302914000000","102-shrine"
"102","3748","鹽竈神社","別宮拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31870026000000","141.01287184000000","102-shrine"
"102","3743","鹽竈神社","左右宮拝殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31892733000000","141.01266824000000","102-shrine"
"102","3741","鹽竈神社","左右宮廻廊","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31907575000000","141.01267205000000","102-shrine"
"102","3739","鹽竈神社","左宮幣殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31908717000000","141.01278051000000","102-shrine"
"102","3740","鹽竈神社","右宮幣殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31912142000000","141.01260735000000","102-shrine"
"102","3737","鹽竈神社","左宮本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31914615000000","141.01279002000000","102-shrine"
"102","3738","鹽竈神社","右宮本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31918992000000","141.01261686000000","102-shrine"
"102","3742","鹽竈神社","左右宮瑞垣","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","20021226","","宮城県","宮城県塩竈市一森山","","志波彦神社
鹽竈神社","","38.31924700000000","141.01272342000000","102-shrine"
"102","122","東照宮","鳥居","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19530331","","宮城県","宮城県仙台市青葉区東照宮一丁目","","東照宮","","38.27882080000000","140.88491112000000","102-shrine"
"102","121","東照宮","随身門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19800126","","宮城県","宮城県仙台市青葉区東照宮一丁目","","東照宮","","38.27976642000000","140.88502548000000","102-shrine"
"102","119","東照宮","唐門","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19530331","","宮城県","宮城県仙台市青葉区東照宮一丁目","","東照宮","","38.28011762000000","140.88505422000000","102-shrine"
"102","118","東照宮","本殿","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19530331","","宮城県","宮城県仙台市青葉区東照宮一丁目","","東照宮","","38.28021952000000","140.88506457000000","102-shrine"
"102","120","東照宮","透塀","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","19530331","","宮城県","宮城県仙台市青葉区東照宮一丁目","","東照宮","","38.28029370000000","140.88507351000000","102-shrine"
"102","00004568","陽徳院霊屋","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸前期","20120709","","宮城県","宮城県宮城郡松島町松島","","陽徳院","","38.37322814000000","141.06019052000000","102-shrine"
"102","163","赤神神社五社堂","十禅師堂","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県男鹿市船川港本山門前字秡川","","赤神神社","","39.87062000000000","139.75072515000000","102-shrine"
"102","162","赤神神社五社堂","八王子堂","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県男鹿市船川港本山門前字秡川","","赤神神社","","39.87064716000000","139.75078915000000","102-shrine"
"102","161","赤神神社五社堂","赤神権現堂","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県男鹿市船川港本山門前字秡川","","赤神神社","","39.87067237000000","139.75087837000000","102-shrine"
"102","160","赤神神社五社堂","客人権現堂","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県男鹿市船川港本山門前字秡川","","赤神神社","","39.87071504000000","139.75095595000000","102-shrine"
"102","159","赤神神社五社堂","三の宮堂","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","江戸中期","19900319","","秋田県","秋田県男鹿市船川港本山門前字秡川","","赤神神社","","39.87073832000000","139.75102190000000","102-shrine"
"102","158","赤神神社五社堂（中央堂）内厨子","","国宝・重要文化財（建造物）","重要文化財","近世以前／神社","","室町後期","19670615","","秋田県","秋田県男鹿市船川港本山門前字秡川","","赤神神社","男鹿市","39.87067237000000","139.75087837000000","102-shrine"
